Time(s);acc_x(g);acc_y(g);acc_z(g);gyr_x(°/s);gyr_y(°/s);gyr_z(°/s);mag_x(G);mag_y(G);mag_z(G);SVM(g);yaw(°);pitch(°);roll(°)
6.671;-1.02;0.08;-0.06;-0.21;-0.63;0.56;395.33;143.46;18.00;1.02;-92.93;-85.83;2.65 
6.702;-1.03;0.06;-0.09;0.28;-0.28;0.56;397.33;142.50;18.00;1.04;-92.94;-85.80;2.66 
6.732;-1.02;0.07;-0.11;0.14;-0.14;0.14;397.33;143.46;14.00;1.03;-92.95;-85.78;2.67 
6.762;-1.02;0.08;-0.11;-0.14;0.83;0.35;397.33;145.37;17.00;1.03;-92.97;-85.76;2.68 
6.792;-1.02;0.09;-0.12;-0.42;0.42;0.35;399.32;143.46;16.00;1.03;-93.00;-85.71;2.71 
6.822;-1.02;0.08;-0.08;-0.56;0.56;0.70;398.32;143.46;15.00;1.03;-93.00;-85.66;2.71 
6.851;-1.02;0.10;-0.10;-0.28;0.63;-0.21;395.33;141.54;15.00;1.03;-93.00;-85.62;2.71 
6.881;-1.02;0.09;-0.05;-0.35;0.42;0.21;396.33;145.37;17.00;1.03;-93.00;-85.58;2.71 
6.912;-1.00;0.09;-0.10;-0.35;0.21;-0.14;397.33;141.54;17.00;1.01;-93.00;-85.54;2.70 
6.942;-1.02;0.09;-0.09;0.07;0.83;-0.42;395.33;141.54;20.00;1.03;-92.98;-85.49;2.68 
6.972;-1.02;0.10;-0.08;-0.21;1.32;0.07;398.32;143.46;17.00;1.03;-92.99;-85.43;2.68 
7.003;-1.02;0.09;-0.12;0.07;0.42;-0.07;397.33;142.50;19.00;1.03;-93.00;-85.36;2.69 
7.032;-1.02;0.08;-0.08;-0.14;-0.14;0.28;400.31;143.46;16.00;1.03;-92.98;-85.36;2.68 
7.062;-1.03;0.07;-0.09;0.14;-0.14;0.35;396.33;139.63;16.00;1.04;-92.98;-85.31;2.67 
7.092;-1.02;0.08;-0.10;-0.21;-0.07;0.21;394.34;139.63;18.00;1.03;-92.99;-85.26;2.67 
7.122;-1.02;0.10;-0.11;-0.28;0.14;0.70;399.32;142.50;17.00;1.03;-93.01;-85.24;2.70 
7.152;-1.02;0.08;-0.05;0.00;0.63;0.00;396.33;142.50;18.00;1.02;-93.01;-85.19;2.69 
7.181;-1.02;0.11;-0.05;-0.14;0.70;0.07;398.32;146.33;18.00;1.03;-93.00;-85.18;2.68 
7.212;-1.02;0.09;-0.07;-0.21;0.90;0.00;397.33;140.59;18.00;1.03;-93.01;-85.13;2.68 
7.242;-1.02;0.09;-0.08;-0.14;0.70;0.00;403.30;144.41;17.00;1.03;-93.02;-85.07;2.70 
7.272;-1.02;0.09;-0.11;-0.28;0.83;-0.14;396.33;142.50;21.00;1.03;-93.01;-85.04;2.68 
7.302;-1.06;0.09;-0.09;-0.28;0.35;0.21;397.33;144.41;19.00;1.07;-93.02;-84.99;2.70 
7.332;-1.02;0.09;-0.09;0.00;-0.07;-0.70;400.31;138.67;16.00;1.03;-93.03;-84.96;2.70 
7.362;-1.03;0.08;-0.07;-0.21;-0.07;0.07;394.34;140.59;17.00;1.04;-93.03;-84.94;2.69 
7.392;-1.03;0.09;-0.11;0.07;0.28;0.07;395.33;144.41;20.00;1.04;-93.02;-84.93;2.69 
7.422;-1.02;0.10;-0.10;0.00;0.21;0.00;398.32;140.59;19.00;1.03;-93.01;-84.90;2.67 
7.452;-1.02;0.08;-0.13;-0.21;0.56;0.42;397.33;141.54;16.00;1.03;-93.02;-84.88;2.68 
7.482;-1.01;0.08;-0.10;-0.35;0.35;0.07;398.32;142.50;13.00;1.02;-93.03;-84.83;2.69 
7.513;-1.03;0.09;-0.06;-0.56;0.77;0.07;396.33;141.54;15.00;1.04;-93.04;-84.79;2.70 
7.543;-1.03;0.10;-0.10;-0.28;1.18;0.00;396.33;140.59;19.00;1.04;-93.05;-84.76;2.71 
7.573;-1.02;0.10;-0.11;-0.14;0.49;0.35;396.33;146.33;15.00;1.03;-93.08;-84.71;2.73 
7.602;-1.04;0.07;-0.11;-0.07;0.07;0.21;393.34;143.46;20.00;1.05;-93.09;-84.68;2.74 
7.632;-1.04;0.10;-0.10;-0.14;0.07;-0.42;396.33;145.37;15.00;1.05;-93.10;-84.63;2.75 
7.662;-1.05;0.10;-0.09;-0.14;0.35;-0.49;395.33;142.50;18.00;1.06;-93.09;-84.58;2.74 
7.692;-1.04;0.10;-0.09;0.00;0.42;-0.35;395.33;145.37;20.00;1.05;-93.08;-84.57;2.73 
7.723;-1.04;0.10;-0.07;0.00;1.81;-0.14;398.32;143.46;17.00;1.05;-93.09;-84.54;2.74 
7.753;-1.02;0.08;-0.10;-0.07;1.53;-0.28;399.32;142.50;20.00;1.03;-93.09;-84.48;2.73 
7.782;-1.04;0.08;-0.12;-0.83;0.97;0.14;397.33;144.41;20.00;1.05;-93.10;-84.38;2.75 
7.813;-1.02;0.07;-0.10;-0.21;0.49;-0.21;397.33;140.59;18.00;1.03;-93.12;-84.33;2.76 
7.843;-1.03;0.08;-0.10;-0.28;-0.21;0.35;397.33;144.41;17.00;1.04;-93.14;-84.31;2.78 
7.873;-1.01;0.06;-0.06;-0.07;0.35;0.00;398.32;144.41;16.00;1.01;-93.16;-84.29;2.79 
7.903;-1.05;0.08;-0.10;0.14;0.35;-0.35;398.32;143.46;21.00;1.06;-93.15;-84.26;2.79 
7.932;-1.02;0.07;-0.10;-0.07;1.25;0.42;397.33;141.54;18.00;1.03;-93.18;-84.21;2.81 
7.961;-1.04;0.08;-0.10;-0.35;0.90;-0.14;397.33;140.59;18.00;1.05;-93.18;-84.16;2.82 
7.991;-1.02;0.09;-0.06;-0.21;0.97;0.21;401.31;143.46;17.00;1.03;-93.18;-84.13;2.81 
8.022;-1.03;0.07;-0.08;-0.35;0.83;0.00;400.31;145.37;19.00;1.04;-93.18;-84.10;2.81 
8.052;-1.02;0.08;-0.09;-0.21;0.63;0.00;396.33;143.46;18.00;1.03;-93.21;-84.05;2.83 
8.082;-1.04;0.09;-0.08;-0.14;0.63;0.07;397.33;144.41;16.00;1.05;-93.22;-84.00;2.85 
8.112;-1.02;0.11;-0.13;-0.07;0.49;-0.28;397.33;143.46;19.00;1.03;-93.22;-83.98;2.84 
8.142;-1.02;0.10;-0.11;-0.28;-0.35;0.07;401.31;144.41;15.00;1.03;-93.21;-83.96;2.84 
8.172;-1.02;0.08;-0.08;-0.07;-0.28;-0.28;396.33;142.50;16.00;1.03;-93.24;-83.96;2.87 
8.202;-1.02;0.07;-0.10;-0.14;0.07;-0.35;398.32;143.46;19.00;1.03;-93.24;-83.95;2.87 
8.232;-1.02;0.07;-0.09;-0.07;0.35;-0.07;398.32;141.54;19.00;1.03;-93.23;-83.95;2.86 
8.262;-1.02;0.06;-0.09;0.07;0.70;0.00;397.33;143.46;16.00;1.03;-93.23;-83.94;2.85 
8.291;-1.03;0.09;-0.11;-0.07;0.63;0.56;395.33;144.41;18.00;1.04;-93.24;-83.91;2.86 
8.322;-1.04;0.08;-0.12;-0.21;1.11;0.14;400.31;138.67;18.00;1.05;-93.26;-83.87;2.88 
8.352;-1.04;0.08;-0.10;-0.49;1.11;-0.07;396.33;143.46;17.00;1.05;-93.26;-83.82;2.88 
8.382;-1.02;0.10;-0.10;-0.14;0.56;0.07;394.34;142.50;19.00;1.03;-93.27;-83.79;2.89 
8.413;-1.02;0.07;-0.10;0.07;1.11;0.14;397.33;143.46;21.00;1.03;-93.29;-83.76;2.91 
8.443;-1.02;0.08;-0.08;-0.21;1.04;0.00;399.32;142.50;14.00;1.03;-93.30;-83.70;2.92 
8.473;-1.05;0.09;-0.09;0.00;0.90;-0.35;398.32;143.46;18.00;1.06;-93.29;-83.68;2.91 
8.503;-1.02;0.09;-0.07;-0.28;0.63;-0.42;398.32;142.50;20.00;1.03;-93.29;-83.64;2.90 
8.534;-1.02;0.07;-0.04;-0.07;1.67;-0.07;397.33;144.41;19.00;1.02;-93.28;-83.61;2.89 
8.564;-1.03;0.08;-0.10;0.00;1.11;0.42;396.33;140.59;20.00;1.04;-93.28;-83.57;2.89 
8.594;-1.02;0.07;-0.08;0.07;1.11;-0.07;400.31;144.41;16.00;1.03;-93.28;-83.54;2.89 
8.625;-1.02;0.07;-0.10;-0.42;1.25;0.00;398.32;143.46;20.00;1.03;-93.29;-83.52;2.90 
8.655;-1.06;0.12;-0.09;-0.42;0.83;0.35;395.33;141.54;21.00;1.07;-93.30;-83.47;2.90 
8.685;-1.02;0.09;-0.10;0.14;0.21;0.21;400.31;139.63;21.00;1.03;-93.30;-83.45;2.90 
8.715;-1.02;0.06;-0.13;-0.14;-0.21;0.49;397.33;144.41;19.00;1.03;-93.31;-83.43;2.92 
8.745;-1.01;0.08;-0.08;-0.21;0.07;0.14;400.31;144.41;21.00;1.02;-93.33;-83.39;2.94 
8.774;-1.00;0.07;-0.09;-0.28;0.97;0.07;396.33;143.46;19.00;1.01;-93.34;-83.40;2.95 
8.804;-1.02;0.06;-0.10;-0.14;0.83;-0.14;398.32;144.41;16.00;1.03;-93.33;-83.38;2.94 
8.835;-1.02;0.05;-0.11;-0.28;0.21;0.49;399.32;141.54;22.00;1.03;-93.34;-83.35;2.95 
8.865;-1.02;0.08;-0.09;-0.07;0.21;0.00;396.33;144.41;17.00;1.03;-93.36;-83.34;2.97 
8.895;-1.03;0.10;-0.10;-0.35;0.28;-0.42;397.33;145.37;20.00;1.04;-93.38;-83.33;2.98 
8.925;-1.02;0.10;-0.08;0.14;-0.07;0.14;397.33;145.37;19.00;1.03;-93.37;-83.31;2.97 
8.954;-1.03;0.09;-0.11;0.14;-0.90;-0.35;394.34;144.41;19.00;1.04;-93.37;-83.32;2.97 
8.984;-1.02;0.08;-0.07;0.14;-0.77;0.28;397.33;142.50;22.00;1.03;-93.38;-83.33;2.99 
9.014;-1.02;0.08;-0.08;0.00;0.00;0.21;399.32;143.46;19.00;1.03;-93.41;-83.33;3.02 
9.044;-1.04;0.08;-0.07;-0.28;0.42;0.14;398.32;143.46;17.00;1.05;-93.43;-83.28;3.03 
9.074;-1.03;0.08;-0.12;-0.35;0.28;0.00;400.31;139.63;19.00;1.04;-93.44;-83.26;3.04 
9.104;-1.03;0.11;-0.10;0.14;0.00;0.00;395.33;142.50;18.00;1.04;-93.45;-83.24;3.05 
9.135;-1.02;0.09;-0.05;0.28;0.63;-0.14;398.32;144.41;22.00;1.03;-93.45;-83.24;3.06 
9.165;-1.02;0.08;-0.10;0.00;1.60;0.14;398.32;142.50;17.00;1.03;-93.46;-83.22;3.06 
9.195;-1.02;0.08;-0.10;-0.07;0.77;0.00;399.32;139.63;19.00;1.03;-93.48;-83.17;3.08 
9.224;-1.02;0.08;-0.10;-0.28;0.35;0.28;396.33;145.37;21.00;1.03;-93.49;-83.15;3.09 
9.254;-1.02;0.09;-0.11;-0.07;0.35;0.21;397.33;143.46;18.00;1.03;-93.50;-83.14;3.10 
9.284;-1.04;0.10;-0.09;-0.28;0.70;-0.07;398.32;143.46;20.00;1.05;-93.52;-83.13;3.12 
9.314;-1.02;0.07;-0.08;-0.49;1.39;0.14;397.33;141.54;19.00;1.03;-93.53;-83.10;3.13 
9.345;-1.02;0.07;-0.11;-0.07;1.18;0.21;400.31;145.37;18.00;1.03;-93.53;-83.06;3.14 
9.375;-1.03;0.08;-0.11;-0.42;0.49;0.56;397.33;143.46;17.00;1.04;-93.56;-83.03;3.17 
9.404;-1.04;0.10;-0.12;-0.28;0.77;-0.07;395.33;141.54;19.00;1.05;-93.58;-82.99;3.18 
9.435;-1.05;0.09;-0.10;-0.28;0.00;-0.14;400.31;143.46;20.00;1.06;-93.58;-82.98;3.18 
9.465;-1.04;0.10;-0.10;-0.14;-0.14;0.14;394.34;140.59;22.00;1.05;-93.58;-82.99;3.18 
9.495;-1.02;0.08;-0.10;-0.35;0.21;0.21;397.33;143.46;20.00;1.03;-93.58;-82.98;3.19 
9.525;-1.02;0.10;-0.14;0.07;1.11;0.35;396.33;144.41;17.00;1.03;-93.59;-82.96;3.20 
9.555;-1.02;0.10;-0.13;0.07;0.97;0.00;398.32;140.59;19.00;1.03;-93.59;-82.93;3.20 
9.584;-1.04;0.09;-0.14;-0.28;0.97;0.35;398.32;142.50;20.00;1.05;-93.61;-82.91;3.22 
9.614;-1.04;0.10;-0.10;-0.28;0.97;0.00;399.32;140.59;20.00;1.05;-93.62;-82.87;3.23 
9.645;-1.03;0.08;-0.11;-0.42;0.56;0.21;396.33;142.50;21.00;1.04;-93.63;-82.83;3.23 
9.675;-1.06;0.07;-0.11;-0.28;0.63;0.00;400.31;142.50;21.00;1.07;-93.65;-82.79;3.25 
9.705;-1.02;0.07;-0.11;0.07;0.00;-0.42;401.31;143.46;17.00;1.03;-93.66;-82.77;3.26 
9.736;-1.02;0.08;-0.11;-0.56;-0.14;0.07;395.33;140.59;18.00;1.03;-93.65;-82.77;3.26 
9.766;-1.02;0.09;-0.11;0.07;0.07;-0.14;396.33;142.50;23.00;1.03;-93.65;-82.77;3.26 
9.796;-1.03;0.06;-0.10;0.07;-0.07;0.21;399.32;143.46;18.00;1.04;-93.66;-82.79;3.26 
9.826;-1.02;0.08;-0.10;-0.35;0.70;0.14;401.31;142.50;19.00;1.03;-93.67;-82.79;3.28 
9.857;-1.05;0.09;-0.10;-0.35;0.35;0.35;398.32;143.46;19.00;1.06;-93.70;-82.76;3.31 
9.886;-1.02;0.07;-0.10;-0.35;0.49;0.35;400.31;140.59;19.00;1.03;-93.72;-82.75;3.33 
9.916;-1.04;0.08;-0.10;-0.35;0.70;0.28;396.33;141.54;20.00;1.05;-93.75;-82.72;3.37 
9.947;-1.02;0.06;-0.12;-0.35;-0.14;0.42;398.32;139.63;20.00;1.03;-93.79;-82.69;3.40 
9.977;-1.03;0.10;-0.11;-0.83;-0.42;1.11;400.31;144.41;17.00;1.04;-93.80;-82.70;3.42 
10.007;-1.04;0.07;-0.10;-1.25;-1.46;1.04;398.32;143.46;18.00;1.05;-93.84;-82.72;3.47 
10.037;-1.03;0.10;-0.09;-1.11;-2.99;1.11;398.32;142.50;20.00;1.04;-93.88;-82.74;3.51 
10.067;-1.01;0.10;-0.10;-1.04;-3.48;1.11;399.32;139.63;16.00;1.02;-93.92;-82.83;3.55 
10.097;-0.99;0.10;-0.06;-0.56;-0.49;0.14;396.33;141.54;15.00;1.00;-93.93;-82.90;3.57 
10.127;-1.02;0.10;-0.06;-0.21;1.81;-0.21;400.31;143.46;20.00;1.03;-93.92;-82.89;3.57 
10.158;-1.02;0.05;-0.09;0.14;1.81;-0.14;398.32;139.63;18.00;1.03;-93.92;-82.85;3.56 
10.188;-1.03;0.08;-0.10;-0.35;2.09;0.07;399.32;141.54;18.00;1.04;-93.91;-82.83;3.56 
10.218;-1.04;0.09;-0.10;-0.56;1.81;-0.42;399.32;140.59;19.00;1.05;-93.91;-82.79;3.56 
10.248;-1.03;0.06;-0.10;-0.42;0.83;0.70;398.32;140.59;17.00;1.04;-93.92;-82.76;3.56 
10.277;-1.02;0.09;-0.12;-0.90;-0.21;1.18;402.31;140.59;16.00;1.03;-93.95;-82.74;3.60 
10.307;-1.02;0.09;-0.09;-0.70;-0.97;1.67;401.31;140.59;19.00;1.03;-93.99;-82.74;3.64 
10.337;-1.05;0.08;-0.06;-0.14;-0.77;0.90;401.31;139.63;16.00;1.05;-94.03;-82.76;3.69 
10.368;-1.02;0.10;-0.10;-0.21;0.00;0.83;399.32;142.50;16.00;1.03;-94.07;-82.76;3.72 
10.398;-1.03;0.12;-0.08;-0.35;0.83;0.70;398.32;142.50;14.00;1.04;-94.13;-82.74;3.79 
10.428;-1.02;0.10;-0.11;-0.35;0.97;-0.35;403.30;141.54;16.00;1.03;-94.15;-82.70;3.80 
10.458;-1.02;0.09;-0.10;-0.07;0.90;0.49;403.30;141.54;18.00;1.03;-94.17;-82.68;3.82 
10.488;-1.00;0.09;-0.12;0.00;1.39;0.28;401.31;141.54;18.00;1.01;-94.20;-82.63;3.85 
10.518;-1.02;0.10;-0.11;-0.07;2.37;-0.07;398.32;140.59;17.00;1.03;-94.20;-82.58;3.85 
10.548;-1.04;0.06;-0.11;0.07;2.02;0.35;398.32;143.46;17.00;1.05;-94.22;-82.51;3.88 
10.578;-1.04;0.06;-0.10;0.14;0.42;0.90;400.31;143.46;19.00;1.05;-94.23;-82.48;3.89 
10.608;-1.02;0.07;-0.11;-0.49;-0.90;1.39;401.31;139.63;16.00;1.03;-94.27;-82.48;3.92 
10.637;-1.02;0.10;-0.09;-0.56;-0.70;1.18;401.31;140.59;19.00;1.03;-94.31;-82.50;3.97 
10.668;-1.02;0.09;-0.12;-0.14;-0.63;0.70;402.31;138.67;17.00;1.03;-94.35;-82.52;4.01 
10.698;-1.05;0.10;-0.08;-0.35;0.90;0.63;400.31;142.50;15.00;1.06;-94.38;-82.53;4.04 
10.728;-1.02;0.09;-0.09;-0.07;1.32;0.21;400.31;140.59;20.00;1.03;-94.40;-82.51;4.06 
10.759;-1.02;0.09;-0.08;0.14;1.53;0.35;399.32;142.50;16.00;1.03;-94.41;-82.46;4.08 
10.789;-1.02;0.08;-0.13;0.00;0.63;-0.07;403.30;140.59;19.00;1.03;-94.43;-82.43;4.09 
10.819;-1.03;0.10;-0.11;-0.42;0.28;-0.07;404.30;138.67;18.00;1.04;-94.44;-82.42;4.10 
10.849;-1.02;0.10;-0.09;-0.49;1.39;-0.63;397.33;140.59;19.00;1.03;-94.45;-82.41;4.11 
10.880;-1.02;0.08;-0.09;-0.14;1.53;-0.56;402.31;140.59;16.00;1.03;-94.43;-82.39;4.09 
10.910;-1.03;0.09;-0.11;0.07;1.32;-0.35;403.30;140.59;18.00;1.04;-94.41;-82.39;4.07 
10.940;-1.02;0.10;-0.15;0.28;0.14;-0.07;400.31;137.72;18.00;1.04;-94.39;-82.40;4.05 
10.970;-1.02;0.08;-0.09;0.14;0.21;0.07;400.31;139.63;14.00;1.03;-94.39;-82.41;4.05 
11.000;-1.05;0.09;-0.12;-0.07;0.14;-0.07;399.32;140.59;15.00;1.06;-94.40;-82.40;4.06 
11.030;-1.02;0.08;-0.12;-0.56;-0.56;0.35;401.31;137.72;19.00;1.03;-94.41;-82.39;4.08 
11.060;-1.05;0.10;-0.10;-0.35;-0.35;0.35;401.31;142.50;19.00;1.06;-94.43;-82.41;4.10 
11.090;-1.02;0.10;-0.07;-0.21;0.21;0.77;401.31;141.54;17.00;1.03;-94.45;-82.41;4.11 
11.119;-1.02;0.10;-0.10;0.00;0.49;0.63;399.32;141.54;18.00;1.03;-94.47;-82.39;4.14 
11.149;-1.00;0.10;-0.10;-0.28;0.63;0.00;402.31;140.59;16.00;1.01;-94.48;-82.38;4.15 
11.180;-1.02;0.10;-0.12;-0.83;0.70;0.21;400.31;140.59;18.00;1.03;-94.50;-82.36;4.17 
11.210;-1.05;0.10;-0.10;-0.35;0.21;-0.42;402.31;139.63;17.00;1.06;-94.50;-82.35;4.18 
11.240;-1.03;0.08;-0.08;-0.97;-0.35;-1.32;403.30;142.50;18.00;1.04;-94.49;-82.37;4.17 
11.271;-1.04;0.12;-0.10;-0.90;3.20;-4.03;399.32;139.63;19.00;1.05;-94.43;-82.42;4.11 
11.300;-1.05;0.14;-0.10;1.88;11.41;-6.33;399.32;141.54;19.00;1.06;-94.32;-82.33;4.00 
11.329;-1.02;0.07;-0.19;4.66;10.64;-4.80;396.33;141.54;17.00;1.04;-94.17;-82.10;3.83 
11.359;-1.07;0.06;-0.19;0.63;-5.70;-3.20;398.32;143.46;21.00;1.09;-94.05;-82.03;3.70 
11.389;-1.02;0.08;-0.09;-1.18;-5.15;-3.76;398.32;138.67;22.00;1.03;-93.90;-82.32;3.56 
11.419;-1.02;0.10;-0.12;2.02;6.26;-3.06;398.32;144.41;17.00;1.03;-93.83;-82.39;3.49 
11.449;-1.02;0.05;-0.18;4.45;6.40;-5.77;394.34;140.59;26.00;1.04;-93.71;-82.26;3.36 
11.480;-1.03;0.02;-0.21;5.08;-4.45;-1.39;395.33;142.50;28.00;1.05;-93.58;-82.19;3.20 
11.510;-1.02;0.07;-0.25;5.29;-16.00;1.46;395.33;144.41;21.00;1.05;-93.58;-82.37;3.18 
11.540;-1.01;0.10;-0.23;4.03;-23.58;2.30;395.33;145.37;20.00;1.04;-93.62;-82.77;3.22 
11.569;-1.04;0.10;-0.14;2.23;-30.26;0.21;395.33;145.37;15.00;1.05;-93.65;-83.40;3.27 
